Time [d]	Ambient temperature in [C]	Gliding (2-day) average of outside temperature  in [C]	Sun elevation angle in [deg]	Sun azimuth angle in [deg]	Declination angle in [deg]	Global Radiation on horizontal surface in [W/m2] (w.r.t. to horizontal unit surface)	Diffuse Radiation on horizontal surface in [W/m2] (w.r.t. to horizontal unit surface)	Direct Radiation on horizontal surface in [W/m2] (w.r.t. to horizontal unit surface)	Room air temperature in [C]	Room radiant temperature in [C]	Operative temperature in [C]	Occupancy schedule based on presence of occupants in [---]. (1 room populated, 0 - empty)	Relative humidity in [%]	Ambient relative humidity in [%]	Absolute humidity in [kg(vapor)/m3(gas)]	Ambient absolute humidity in [kg(vapor)/m3(gas)]	Room air water content [kg(vapor)/kg(dry air)]	
0	0.79	1.32859	-61.9768	0	-23.0861	2	2	0	20	20	20	0	0	0	0	0	0	
0.0416667	-7.07126	0.79	-59.6611	28.1234	-23.0831	6.81757	5.24363	1.57394	20	20	20	0	0	0	0	0	0	
0.0833333	-7.62558	-3.14063	-53.6419	50.8868	-23.0802	6.56537	5.04721	1.51816	20	20	20	0	0	0	0	0	0	
0.125	-7.98802	-4.82039	-45.5213	68.1965	-23.0772	6.32799	4.86599	1.462	20	20	20	0	0	0	0	0	0	
0.166667	-8.34489	-5.79352	-36.4312	82.0003	-23.0742	5.8557	4.50268	1.35302	20	20	20	0	0	0	0	0	0	
0.208333	-8.81798	-6.51791	-27.0337	93.9076	-23.0712	5.72975	4.40519	1.32456	19.9996	19.9996	19.9996	0	0	0	0	0	0	
0.25	-9.26405	-7.21665	-17.7568	104.97	-23.0682	6.11605	4.70604	1.41001	19.9982	19.9981	19.9982	0	0	0	0	0	0	
0.291667	-9.01388	-7.82776	-8.94189	115.889	-23.0651	5.9545	4.5833	1.3712	19.9946	19.9945	19.9945	0	0	0	0	0	0	
0.333333	-8.50809	-7.78839	-0.920793	127.164	-23.0621	5.95463	4.58279	1.37184	19.988	19.9872	19.9876	0	0	0	0	0	0	
0.375	-7.75989	-7.47497	5.94738	139.147	-23.059	26.0019	20.001	6.00091	19.9986	19.9819	19.9903	0	0	0	0	0	0	
0.416667	-6.86478	-6.9049	11.2721	152.025	-23.056	105.774	81.3666	24.4075	19.9978	19.971	19.9844	0	0	0	0	0	0	
0.458333	-6.27657	-6.16889	14.6688	165.75	-23.0529	125.616	96.6267	28.9889	19.9967	19.9567	19.9767	0	0	0	0	0	0	
0.5	-5.88596	-5.68769	15.8409	180.001	-23.0498	106.3	81.7657	24.5339	19.9954	19.9394	19.9674	0	0	0	0	0	0	
0.541667	-5.28933	-5.37242	14.6749	194.254	-23.0467	107.749	82.8842	24.8646	19.9939	19.9194	19.9566	0	0	0	0	0	0	
0.583333	-4.82873	-4.85509	11.2838	207.982	-23.0436	110.118	84.7074	25.411	19.9922	19.8971	19.9447	0	0	0	0	0	0	
0.625	-4.52996	-4.45415	5.96399	220.864	-23.0405	115.781	89.0628	26.7182	19.9904	19.873	19.9317	0	0	0	0	0	0	
0.666667	-4.19179	-4.19746	-0.900015	232.852	-23.0373	62.2317	47.8732	14.3585	19.9885	19.8477	19.9181	0	0	0	0	0	0	
0.708333	-4.07304	-3.89874	-8.91746	244.132	-23.0342	13.8783	10.6759	3.20238	19.9865	19.8217	19.9041	0	0	0	0	0	0	
0.75	-4.02999	-3.80287	-17.7289	255.058	-23.031	5.14191	3.95393	1.18798	19.9845	19.7954	19.89	0	0	0	0	0	0	
0.791667	-3.86271	-3.77631	-27.002	266.128	-23.0278	4.95911	3.81486	1.14425	19.9775	19.7689	19.8732	0	0	0	0	0	0	
0.833333	-3.54385	-3.63007	-36.3947	278.044	-23.0247	4.88601	3.76057	1.12544	19.6434	19.6412	19.6423	0	0	0	0	0	0	
0.875	-2.98592	-3.33748	-45.4782	291.857	-23.0215	4.66598	3.58998	1.076	19.5615	19.5595	19.5605	0	0	0	0	0	0	
0.916667	-2.29964	-2.81429	-53.5894	309.171	-23.0183	4.02023	3.09358	0.926649	19.4822	19.4801	19.4811	0	0	0	0	0	0	
0.958333	-1.13301	-2.16531	-59.5967	331.923	-23.015	3.99559	3.07495	0.920636	19.4023	19.4003	19.4013	0	0	0	0	0	0	
1	0.168128	-1.05288	-61.9025	0	-23.0118	3.96195	3.04796	0.913987	19.3212	19.3191	19.3202	0	0	0	0	0	0	
1.04167	1.40011	-0.414245	-59.5905	28.076	-23.0086	3.93972	3.03335	0.906369	19.2387	19.2366	19.2377	0	0	0	0	0	0	
1.08333	2.53629	-3.47407	-53.5784	50.8201	-23.0053	4.18247	3.21791	0.964558	19.1548	19.1527	19.1538	0	0	0	0	0	0	
1.125	3.29006	-4.72389	-45.4632	68.1286	-23.002	4.268	3.284	0.983999	19.0697	19.0675	19.0686	0	0	0	0	0	0	
1.16667	3.48394	-5.40382	-36.3756	81.937	-22.9988	4.42972	3.40729	1.02243	18.9834	18.9812	18.9823	0	0	0	0	0	0	
1.20833	3.8947	-5.8774	-26.9782	93.8497	-22.9955	4.21745	3.24233	0.975124	18.8962	18.894	18.8951	0	0	0	0	0	0	
1.25	5.04017	-6.31718	-17.6996	104.918	-22.9922	3.87197	2.97598	0.895995	18.8085	18.8063	18.8074	0	0	0	0	0	0	
1.29167	8.19429	-6.66267	-8.88168	115.842	-22.9889	3.26053	2.50782	0.75271	18.7205	18.7183	18.7194	0	0	0	0	0	0	
1.33333	9.77633	-6.47881	-0.85655	127.123	-22.9855	3.00216	2.30912	0.693039	18.6377	18.6307	18.6342	0	0	0	0	0	0	
1.375	9.90404	-6.08087	6.01613	139.113	-22.9822	7.54088	5.79868	1.7422	19.9548	19.0002	19.4775	0	0	0	0	0	0	
1.41667	10.3067	-5.48172	11.3451	151.999	-22.9788	33.905	26.0803	7.82467	19.9583	19.0757	19.517	0	0	0	0	0	0	
1.45833	10.8256	-4.75039	14.7451	165.737	-22.9755	113.378	87.217	26.1612	19.9604	19.1234	19.5419	0	0	0	0	0	0	
1.5	11.188	-4.22315	15.9186	180.001	-22.9721	121.98	93.8301	28.1502	19.9621	19.1598	19.5609	0	0	0	0	0	0	
1.54167	11.2964	-3.83272	14.7517	194.267	-22.9687	98.2227	75.556	22.6667	19.9634	19.1899	19.5766	0	0	0	0	0	0	
1.58333	11.2854	-3.28457	11.3579	208.008	-22.9653	66.9501	51.5023	15.4478	19.9646	19.2159	19.5902	0	0	0	0	0	0	
1.625	10.3538	-2.83979	6.03427	220.899	-22.9619	28.049	21.5777	6.47132	19.9656	19.2391	19.6024	0	0	0	0	0	0	
1.66667	8.74987	-2.52659	-0.833865	232.895	-22.9585	11.2403	8.64838	2.59191	19.9666	19.2603	19.6135	0	0	0	0	0	0	
1.70833	7.04598	-2.19496	-8.85501	244.182	-22.9551	5.03057	3.86799	1.16258	19.9675	19.2802	19.6238	0	0	0	0	0	0	
1.75	6.05996	-2.03417	-17.6691	255.113	-22.9516	3.738	2.874	0.863999	19.9683	19.299	19.6337	0	0	0	0	0	0	
1.79167	5.58056	-1.93423	-26.9436	266.189	-22.9482	3.92397	3.02154	0.90243	19.9639	19.3167	19.6403	0	0	0	0	0	0	
1.83333	5.74014	-1.73988	-36.3357	278.111	-22.9447	3.74473	2.88385	0.860884	19.052	19.0487	19.0503	0	0	0	0	0	0	
1.875	7.78435	-1.41605	-45.4161	291.929	-22.9412	3.40597	2.61998	0.785995	18.9439	18.9415	18.9427	0	0	0	0	0	0	
1.91667	9.5722	-0.898563	-53.5211	309.243	-22.9377	2.93601	2.25693	0.679079	18.8563	18.8542	18.8552	0	0	0	0	0	0	
1.95833	9.05421	-0.294486	-59.5201	331.974	-22.9342	2.92191	2.24431	0.677597	18.7772	18.7752	18.7762	0	0	0	0	0	0	
2	8.64405	0.666085	-61.8214	0	-22.9307	3.00998	2.31399	0.695995	18.7027	18.7008	18.7017	0	0	0	0	0	0	
2.04167	9.67466	1.24595	-59.5134	28.0245	-22.9272	3.16215	2.43366	0.728491	18.6309	18.6291	18.63	0	0	0	0	0	0	
2.08333	10.1033	-1.13885	-53.5091	50.7475	-22.9237	3.23088	2.48816	0.742721	18.5612	18.5594	18.5603	0	0	0	0	0	0	
2.125	9.69794	-2.08531	-45.3997	68.0548	-22.9201	3.39604	2.61203	0.784011	18.4929	18.4911	18.492	0	0	0	0	0	0	
2.16667	8.93235	-2.58385	-36.3149	81.8681	-22.9165	3.43695	2.6412	0.795754	18.4258	18.4241	18.425	0	0	0	0	0	0	
2.20833	8.25322	-2.92639	-26.9178	93.7868	-22.913	3.29512	2.5324	0.762721	18.3599	18.3583	18.3591	0	0	0	0	0	0	
2.25	7.74395	-3.25569	-17.6374	104.86	-22.9094	3.52805	2.71204	0.816013	18.2952	18.2936	18.2944	0	0	0	0	0	0	
2.29167	7.50545	-3.53781	-8.81609	115.79	-22.9058	3.53816	2.72059	0.81757	18.2317	18.23	18.2309	0	0	0	0	0	0	
2.33333	7.33177	-3.4111	-0.786591	127.077	-22.9022	3.42576	2.63576	0.79	18.1768	18.1683	18.1725	0	0	0	0	0	0	
2.375	6.50986	-3.12103	6.09098	139.075	-22.8986	4.04212	3.10809	0.934028	19.951	18.7092	19.3301	0	0	0	0	0	0	
2.41667	4.84196	-2.68725	11.4246	151.972	-22.8949	11.2509	8.65101	2.59991	19.9563	18.8464	19.4013	0	0	0	0	0	0	
2.45833	3.92025	-2.15973	14.8281	165.722	-22.8913	25.0064	19.2323	5.77413	19.9599	18.9417	19.4508	0	0	0	0	0	0	
2.5	3.94203	-1.79832	16.0031	180.001	-22.8876	37.4852	28.8349	8.65025	19.9627	19.0175	19.4901	0	0	0	0	0	0	
2.54167	4.16941	-1.54537	14.8353	194.282	-22.884	26.5998	20.46	6.13985	19.9652	19.0812	19.5232	0	0	0	0	0	0	
2.58333	4.11601	-1.1666	11.4385	208.036	-22.8803	20.3369	15.6439	4.693	19.9672	19.1357	19.5515	0	0	0	0	0	0	
2.625	3.91398	-0.864433	6.11064	220.937	-22.8766	18.8972	14.5394	4.35783	19.969	19.1829	19.576	0	0	0	0	0	0	
2.66667	3.84394	-0.654759	-0.762004	232.941	-22.8729	12.2767	9.44624	2.83048	19.9706	19.2239	19.5972	0	0	0	0	0	0	
2.70833	3.90912	-0.415592	-8.78718	244.235	-22.8692	6.20298	4.77206	1.43092	19.9719	19.2596	19.6157	0	0	0	0	0	0	
2.75	3.972	-0.304367	-17.6043	255.173	-22.8654	3.81803	2.93802	0.880006	19.9731	19.2905	19.6318	0	0	0	0	0	0	
2.79167	4.00425	-0.237547	-26.8802	266.255	-22.8617	3.77058	2.90089	0.869693	19.9608	19.3166	19.6387	0	0	0	0	0	0	
2.83333	4.00272	-0.0965435	-36.2717	278.184	-22.8579	3.61088	2.77816	0.832721	19.0577	19.0545	19.0561	0	0	0	0	0	0	
2.875	4.10402	0.131852	-45.3487	292.007	-22.8542	3.44597	2.64998	0.795995	18.9544	18.9521	18.9533	0	0	0	0	0	0	
2.91667	4.2588	0.50156	-53.4469	309.32	-22.8504	3.72156	2.86276	0.858798	18.8697	18.8676	18.8686	0	0	0	0	0	0	
2.95833	4.20633	0.944423	-59.4371	332.029	-22.8466	3.8636	2.97088	0.892721	18.7915	18.7896	18.7906	0	0	0	0	0	0	
3	4.34004	1.67701	-61.7335	0	-22.8428	3.72799	2.86599	0.861996	18.7163	18.7144	18.7154	0	0	0	0	0	0	
3.04167	4.61335	2.09873	-59.4299	27.969	-22.839	3.66182	2.81788	0.843939	18.6426	18.6407	18.6417	0	0	0	0	0	0	
3.08333	4.59633	0.144998	-53.4339	50.6691	-22.8352	3.55208	2.73512	0.816961	18.5698	18.5679	18.5689	0	0	0	0	0	0	
3.125	4.25595	-0.657519	-45.331	67.975	-22.8314	3.43199	2.64399	0.787998	18.4976	18.4957	18.4967	0	0	0	0	0	0	
3.16667	3.40112	-1.10244	-36.2492	81.7936	-22.8275	3.91522	3.01399	0.901228	18.4258	18.424	18.4249	0	0	0	0	0	0	
3.20833	2.06725	-1.42803	-26.8523	93.7187	-22.8237	3.80651	2.93018	0.876325	18.3544	18.3526	18.3535	0	0	0	0	0	0	
3.25	1.04393	-1.7473	-17.57	104.799	-22.8198	3.78006	2.90805	0.872014	18.2833	18.2815	18.2824	0	0	0	0	0	0	
3.29167	0.63028	-2.0303	-8.74514	115.735	-22.8159	4.03455	3.10243	0.932123	18.2125	18.2107	18.2116	0	0	0	0	0	0	
3.33333	0.122581	-1.989	-0.710935	127.028	-22.812	4.11608	3.16456	0.951519	18.1667	18.142	18.1543	0	0	0	0	0	0	
3.375	-0.230012	-1.81311	6.17189	139.035	-22.8081	6.38244	4.90634	1.4761	19.9501	18.6835	19.3168	0	0	0	0	0	0	
3.41667	-0.409413	-1.50985	11.5106	151.942	-22.8042	17.2228	13.2449	3.97787	19.9551	18.817	19.3861	0	0	0	0	0	0	
3.45833	-0.701589	-1.12635	14.9178	165.706	-22.8003	36.1441	27.8036	8.34048	19.9586	18.9079	19.4332	0	0	0	0	0	0	
3.5	-0.916013	-0.877704	16.0944	180.001	-22.7963	55.0998	42.3834	12.7164	19.9613	18.979	19.4701	0	0	0	0	0	0	
3.54167	-1.04486	-0.718797	14.9256	194.298	-22.7924	62.7756	48.2865	14.4891	19.9635	19.0376	19.5006	0	0	0	0	0	0	
3.58333	-1.05392	-0.458859	11.5255	208.066	-22.7884	66.9618	51.5058	15.456	19.9654	19.0869	19.5262	0	0	0	0	0	0	
3.625	-1.05601	-0.258544	6.19307	220.979	-22.7845	67.8217	52.1678	15.6539	19.967	19.1288	19.5479	0	0	0	0	0	0	
3.66667	-1.2376	-0.133152	-0.684455	232.992	-22.7805	42.1485	32.4241	9.72439	19.9683	19.1643	19.5663	0	0	0	0	0	0	
3.70833	-1.57039	0.012519	-8.71399	244.293	-22.7765	14.0835	10.8354	3.24807	19.9695	19.1946	19.582	0	0	0	0	0	0	
3.75	-2.19609	0.0500982	-17.5343	255.237	-22.7725	5.12799	3.94599	1.182	19.9704	19.2203	19.5954	0	0	0	0	0	0	
3.79167	-2.85762	0.0463725	-26.8118	266.326	-22.7684	4.83755	3.7221	1.11545	19.9706	19.242	19.6063	0	0	0	0	0	0	
3.83333	-3.1764	0.099349	-36.2026	278.262	-22.7644	4.7088	3.62304	1.08576	18.9447	18.941	18.9429	0	0	0	0	0	0	
3.875	-3.28801	0.220465	-45.2759	292.091	-22.7604	4.57397	3.51998	1.05399	18.8197	18.8169	18.8183	0	0	0	0	0	0	
3.91667	-3.44729	0.452014	-53.3669	309.403	-22.7563	4.68215	3.60366	1.07849	18.7147	18.7121	18.7134	0	0	0	0	0	0	
3.95833	-3.71431	0.740299	-59.3477	332.088	-22.7522	4.96399	3.81943	1.14456	18.6167	18.6142	18.6155	0	0	0	0	0	0	
4	-4.13806	1.25572	-61.6389	0	-22.7482	5.26804	4.05003	1.21801	18.5217	18.5193	18.5205	0	0	0	0	0	0	
4.04167	-4.55427	1.5167	-59.3399	27.9095	-22.7441	5.56366	4.27729	1.28637	18.428	18.4256	18.4268	0	0	0	0	0	0	
4.08333	-4.64816	-0.123326	-53.353	50.5851	-22.74	5.42809	4.17569	1.2524	18.3348	18.3324	18.3336	0	0	0	0	0	0	
4.125	-4.67001	-0.839722	-45.2569	67.8893	-22.7359	5.14798	3.96198	1.186	18.2417	18.2393	18.2405	0	0	0	0	0	0	
4.16667	-4.34025	-1.26017	-36.1784	81.7136	-22.7317	5.01939	3.86151	1.15788	18.1485	18.1461	18.1473	0	0	0	0	0	0	
4.20833	-4.03664	-1.57151	-26.7818	93.6456	-22.7276	5.15279	3.96247	1.19032	18.0549	18.0525	18.0537	0	0	0	0	0	0	
4.25	-4.21204	-1.87072	-17.4974	104.732	-22.7235	5.262	4.048	1.214	17.9609	17.9585	17.9597	0	0	0	0	0	0	
4.29167	-4.47517	-2.13967	-8.66883	115.675	-22.7193	5.04391	3.8824	1.16151	17.8664	17.864	17.8652	0	0	0	0	0	0	
4.33333	-4.62488	-2.14619	-0.629606	126.976	-22.7151	5.12311	3.94127	1.18184	17.7746	17.7692	17.7719	0	0	0	0	0	0	
4.375	-4.91405	-2.04451	6.25885	138.991	-22.7109	16.3222	12.5577	3.7645	19.9496	18.4149	19.1822	0	0	0	0	0	0	
4.41667	-5.2579	-1.84231	11.6029	151.91	-22.7067	58.2725	44.8296	13.4429	19.9545	18.5679	19.2612	0	0	0	0	0	0	
4.45833	-5.3224	-1.57402	15.0141	165.689	-22.7025	99.9009	76.8475	23.0534	19.9577	18.6701	19.3139	0	0	0	0	0	0	
4.5	-4.96794	-1.40887	16.1924	180.001	-22.6983	181.633	139.714	41.9191	19.9602	18.7491	19.3547	0	0	0	0	0	0	
4.54167	-4.07506	-1.30699	15.0225	194.315	-22.6941	250.886	192.989	57.8965	19.9623	18.8137	19.388	0	0	0	0	0	0	
4.58333	-3.84887	-1.12233	11.6189	208.098	-22.6898	225.303	173.31	51.9935	19.964	18.8677	19.4159	0	0	0	0	0	0	
4.625	-3.82396	-0.985147	6.28153	221.023	-22.6856	177.016	136.165	40.8512	19.9654	18.9135	19.4395	0	0	0	0	0	0	
4.66667	-3.79092	-0.90611	-0.60124	233.046	-22.6813	98.982	76.1386	22.8434	19.9667	18.9526	19.4597	0	0	0	0	0	0	
4.70833	-4.13223	-0.810923	-8.63546	244.354	-22.677	28.4253	21.8655	6.55977	19.9678	18.9861	19.4769	0	0	0	0	0	0	
4.75	-4.55604	-0.800525	-17.4593	255.306	-22.6728	6.5797	5.06377	1.51593	19.9687	19.015	19.4918	0	0	0	0	0	0	
4.79167	-4.96064	-0.821031	-26.7384	266.402	-22.6685	5.69335	4.38304	1.31031	19.9672	19.0399	19.5036	0	0	0	0	0	0	
4.83333	-5.36615	-0.796898	-36.1284	278.346	-22.6641	5.51505	4.24265	1.2724	18.659	18.6541	18.6565	0	0	0	0	0	0	
4.875	-5.58201	-0.719122	-45.1978	292.181	-22.6598	5.19997	3.99998	1.19999	18.4985	18.4948	18.4967	0	0	0	0	0	0	
4.91667	-5.67061	-0.55241	-53.2811	309.492	-22.6555	5.25942	4.04911	1.21031	18.3648	18.3615	18.3631	0	0	0	0	0	0	
4.95833	-5.62936	-0.337741	-59.2518	332.151	-22.6511	5.36728	4.13152	1.23576	18.2411	18.238	18.2396	0	0	0	0	0	0	
5	-5.66602	0.0618631	-61.5375	0	-22.6468	5.27798	4.06198	1.216	18.1223	18.1193	18.1208	0	0	0	0	0	0	
5.04167	-5.76031	0.260593	-59.2435	27.8461	-22.6424	5.20394	4.00394	1.2	18.0063	18.0033	18.0048	0	0	0	0	0	0	
5.08333	-5.67057	-1.05994	-53.2662	50.4954	-22.638	5.0848	3.9136	1.1712	17.8919	17.889	17.8904	0	0	0	0	0	0	
5.125	-5.27194	-1.63808	-45.1775	67.7978	-22.6336	4.97	3.826	1.144	17.7786	17.7757	17.7772	0	0	0	0	0	0	
5.16667	-4.84785	-1.97867	-36.1026	81.6281	-22.6292	4.88333	3.75545	1.12788	17.6661	17.6632	17.6646	0	0	0	0	0	0	
5.20833	-4.71576	-2.23339	-26.7063	93.5674	-22.6248	4.84	3.72	1.12	17.554	17.5511	17.5526	0	0	0	0	0	0	
5.25	-4.60598	-2.47605	-17.4198	104.661	-22.6204	4.87	3.744	1.126	17.4423	17.4394	17.4408	0	0	0	0	0	0	
5.29167	-4.56031	-2.69191	-8.5872	115.611	-22.6159	4.95667	3.81455	1.14212	17.3308	17.3279	17.3294	0	0	0	0	0	0	
5.33333	-4.70671	-2.69782	-0.542628	126.919	-22.6115	5.07488	3.9076	1.16728	17.2308	17.2175	17.2241	0	0	0	0	0	0	
5.375	-4.70998	-2.61477	6.35183	138.944	-22.607	12.6735	9.75315	2.92034	19.9373	18.0284	18.9829	0	0	0	0	0	0	
5.41667	-4.44997	-2.44628	11.7016	151.876	-22.6025	39.7636	30.592	9.17159	19.9436	18.2255	19.0845	0	0	0	0	0	0	
5.45833	-3.96866	-2.22036	15.1171	165.671	-22.5981	74.7658	57.5168	17.249	19.9478	18.3589	19.1534	0	0	0	0	0	0	
5.5	-3.77001	-2.07826	16.2971	180.001	-22.5936	36.33	36.33	0	19.9511	18.4633	19.2072	0	0	0	0	0	0	
5.54167	-3.85243	-1.9949	15.126	194.333	-22.589	46.5	46.5	0	19.9539	18.5497	19.2518	0	0	0	0	0	0	
5.58333	-3.61505	-1.84523	11.7187	208.132	-22.5845	40.8234	40.8234	0	19.9562	18.6231	19.2896	0	0	0	0	0	0	
5.625	-3.18595	-1.73016	6.37601	221.071	-22.58	17.17	17.17	0	19.9582	18.6861	19.3222	0	0	0	0	0	0	
5.66667	-3.01182	-1.66044	-0.512384	233.103	-22.5754	6.17	6.17	0	19.96	18.7408	19.3504	0	0	0	0	0	0	
5.70833	-3.01728	-1.575	-8.55162	244.42	-22.5709	2	2	0	19.9615	18.7884	19.3749	0	0	0	0	0	0	
5.75	-3.06001	-1.55422	-17.3791	255.379	-22.5663	2	2	0	19.9628	18.8302	19.3965	0	0	0	0	0	0	
5.79167	-2.96483	-1.55399	-26.66	266.483	-22.5617	2	2	0	19.9511	18.8661	19.4086	0	0	0	0	0	0	
5.83333	-3.00519	-1.51501	-36.0493	278.435	-22.5571	2	2	0	18.4254	18.4199	18.4227	0	0	0	0	0	0	
5.875	-3.24003	-1.43327	-45.1145	292.277	-22.5525	2	2	0	18.2455	18.2415	18.2435	0	0	0	0	0	0	
5.91667	-3.69156	-1.28341	-53.1895	309.586	-22.5479	2	2	0	18.0977	18.0941	18.0959	0	0	0	0	0	0	
5.95833	-4.14463	-1.0993	-59.1496	332.218	-22.5433	2	2	0	17.9623	17.9589	17.9606	0	0	0	0	0	0	
6	-4.95213	-0.773668	-61.4294	0	-22.5387	2	2	0	17.8332	17.8299	17.8315	0	0	0	0	0	0	
6.04167	-5.61033	-0.613434	-59.1407	27.779	-22.534	2	2	0	17.708	17.7048	17.7064	0	0	0	0	0	0	
6.08333	-6.01343	-1.67272	-53.1737	50.4003	-22.5294	2	2	0	17.5856	17.5825	17.5841	0	0	0	0	0	0	
6.125	-6.57807	-2.14611	-45.0928	67.7006	-22.5247	2	2	0	17.4655	17.4624	17.4639	0	0	0	0	0	0	
6.16667	-7.19975	-2.43818	-36.0218	81.5372	-22.52	2	2	0	17.3471	17.3441	17.3456	0	0	0	0	0	0	
6.20833	-7.7971	-2.66764	-26.6259	93.4842	-22.5153	2	2	0	17.2302	17.2272	17.2287	0	0	0	0	0	0	
6.25	-8.5641	-2.89475	-17.3372	104.585	-22.5106	2	2	0	17.1145	17.1115	17.113	0	0	0	0	0	0	
6.29167	-9.67586	-3.11007	-8.50026	115.542	-22.5059	2	2	0	16.9998	16.9969	16.9983	0	0	0	0	0	0	
6.33333	-10.3701	-3.16199	-0.450026	126.859	-22.5011	2.00181	2.00181	0	16.8969	16.8837	16.8903	0	0	0	0	0	0	
6.375	-10.2159	-3.14144	6.45079	138.894	-22.4964	8.5	8.5	0	19.93	17.8001	18.8651	0	0	0	0	0	0	
6.41667	-9.80179	-3.05124	11.8066	151.84	-22.4916	18	18	0	19.9373	18.0279	18.9826	0	0	0	0	0	0	
6.45833	-9.66	-2.91793	15.2267	165.651	-22.4869	26.8362	26.8362	0	19.9422	18.1833	19.0628	0	0	0	0	0	0	
6.5	-9.55798	-2.85248	16.4086	180.001	-22.4821	49.33	49.33	0	19.9461	18.3052	19.1257	0	0	0	0	0	0	
6.54167	-9.36877	-2.83177	15.2361	194.353	-22.4773	44.17	44.17	0	19.9493	18.4059	19.1776	0	0	0	0	0	0	
6.58333	-9.39943	-2.76023	11.8248	208.169	-22.4725	28.8266	28.8266	0	19.952	18.4909	19.2214	0	0	0	0	0	0	
6.625	-9.26396	-2.71883	6.47647	221.121	-22.4677	16.67	16.67	0	19.9543	18.5633	19.2588	0	0	0	0	0	0	
6.66667	-9.08363	-2.71365	-0.417913	233.164	-22.4629	6.83	6.83	0	19.9563	18.6254	19.2908	0	0	0	0	0	0	
6.70833	-9.04272	-2.69551	-8.46248	244.49	-22.458	2	2	0	19.958	18.6788	19.3184	0	0	0	0	0	0	
6.75	-9.22204	-2.73023	-17.2939	255.457	-22.4532	2	2	0	19.9594	18.7247	19.3421	0	0	0	0	0	0	
6.79167	-9.51972	-2.78468	-26.5767	266.569	-22.4483	2	2	0	19.9577	18.7641	19.3609	0	0	0	0	0	0	
6.83333	-9.90071	-2.81095	-35.9651	278.529	-22.4435	1.99986	1.99986	0	18.2814	18.2754	18.2784	0	0	0	0	0	0	
6.875	-10.232	-2.80383	-45.0259	292.379	-22.4386	1.5	1.5	0	18.0826	18.0781	18.0804	0	0	0	0	0	0	
6.91667	-10.4473	-2.74024	-53.0922	309.686	-22.4337	2	2	0	17.9178	17.9137	17.9158	0	0	0	0	0	0	
6.95833	-10.8122	-2.64852	-59.0409	332.289	-22.4288	1.83005	1.83005	0	17.7655	17.7617	17.7636	0	0	0	0	0	0	
7	-11.032	-2.43867	-61.3146	0	-22.4239	2	2	0	17.6192	17.6155	17.6173	0	0	0	0	0	0	
7.04167	-11.0158	-2.35553	-59.0316	27.7081	-22.4189	2	2	0	17.4762	17.4726	17.4744	0	0	0	0	0	0	
7.08333	-11.0461	-3.2449	-53.0754	50.2997	-22.414	2	2	0	17.3354	17.3318	17.3336	0	0	0	0	0	0	
7.125	-11.14	-3.66163	-45.0029	67.5978	-22.4091	2	2	0	17.1962	17.1926	17.1944	0	0	0	0	0	0	
7.16667	-11.2527	-3.92906	-35.936	81.441	-22.4041	1.83	1.83	0	17.0581	17.0545	17.0563	0	0	0	0	0	0	
7.20833	-11.4037	-4.14268	-26.5405	93.3961	-22.3991	1.99995	1.99995	0	16.9208	16.9173	16.9191	0	0	0	0	0	0	
7.25	-11.57	-4.34942	-17.2494	104.505	-22.3941	1.83	1.83	0	16.7843	16.7808	16.7825	0	0	0	0	0	0	
7.29167	-11.7876	-4.53928	-8.40805	115.47	-22.3891	1.83	1.83	0	16.6482	16.6447	16.6465	0	0	0	0	0	0	
7.33333	-11.9591	-4.59405	-0.351827	126.796	-22.3841	2.50296	2.50296	0	16.5296	16.5104	16.52	0	0	0	0	0	0	
7.375	-12.196	-4.59411	6.55572	138.842	-22.3791	13.17	13.17	0	19.9214	17.5293	18.7254	0	0	0	0	0	0	
7.41667	-12.1866	-4.54182	11.918	151.801	-22.3741	31	31	0	19.9294	17.7794	18.8544	0	0	0	0	0	0	
7.45833	-11.8408	-4.45335	15.3429	165.631	-22.369	51.5029	50.0023	1.5006	19.9348	17.9491	18.9419	0	0	0	0	0	0	
7.5	-11.0739	-4.41363	16.5267	180.001	-22.364	61.84	58.17	3.67	19.939	18.0818	19.0104	0	0	0	0	0	0	
7.54167	-10.1323	-4.40342	15.3528	194.374	-22.3589	82.33	73.83	8.5	19.9425	18.1916	19.067	0	0	0	0	0	0	
7.58333	-9.36106	-4.34587	11.9372	208.208	-22.3538	42.8269	42.8269	0	19.9454	18.2845	19.115	0	0	0	0	0	0	
7.625	-9.27004	-4.3128	6.58288	221.175	-22.3488	31.67	31.67	0	19.948	18.3642	19.1561	0	0	0	0	0	0	
7.66667	-9.84036	-4.31496	-0.317855	233.229	-22.3437	13.33	13.33	0	19.9502	18.4328	19.1915	0	0	0	0	0	0	
7.70833	-10.7363	-4.31456	-8.36807	244.564	-22.3385	1	1	0	19.9521	18.4924	19.2222	0	0	0	0	0	0	
7.75	-11.4721	-4.36109	-17.2037	255.539	-22.3334	1	1	0	19.9537	18.5442	19.249	0	0	0	0	0	0	
7.79167	-11.6297	-4.42223	-26.4884	266.66	-22.3283	1	1	0	19.9538	18.5895	19.2716	0	0	0	0	0	0	
7.83333	-11.4545	-4.4562	-35.876	278.629	-22.3231	1	1	0	18.0394	18.0325	18.0359	0	0	0	0	0	0	
